run_dir,episodes,mean_episode_reward,std_episode_reward,aop_accuracy,switch_count,baseline_mean_episode_reward,baseline_std_episode_reward,figures,alpha,threshold,seed,experiment_name
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s42/20260507_090513,1000,80.476,35.647207800892346,0.6258086776503062,2085,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s42/20260507_090513/analysis/policy_timeline.png']",0.8,4.0,42,discrete_sweep_a0.8_t4_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s43/20260507_090513,1000,81.5,33.90389358171123,0.6247366573033708,2089,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t4_s43/20260507_090513/analysis/policy_timeline.png']",0.8,4.0,43,discrete_sweep_a0.8_t4_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s42/20260507_090513,1000,80.887,34.43054212468924,0.6270488286278212,1532,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s42/20260507_090513/analysis/policy_timeline.png']",0.8,6.0,42,discrete_sweep_a0.8_t6_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s43/20260507_090513,1000,81.512,33.83746231619623,0.622060372060372,1496,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t6_s43/20260507_090513/analysis/policy_timeline.png']",0.8,6.0,43,discrete_sweep_a0.8_t6_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s42/20260507_090513,1000,80.96,35.13838926302684,0.6129427197201575,1162,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s42/20260507_090513/analysis/policy_timeline.png']",0.8,8.0,42,discrete_sweep_a0.8_t8_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s43/20260507_090513,1000,81.668,33.88866736831061,0.6275984077841663,1141,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.8_t8_s43/20260507_090513/analysis/policy_timeline.png']",0.8,8.0,43,discrete_sweep_a0.8_t8_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s42/20260507_090513,1000,77.617,40.934023879897275,0.5893719806763285,2481,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s42/20260507_090513/analysis/policy_timeline.png']",0.9,4.0,42,discrete_sweep_a0.9_t4_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s43/20260507_090513,1000,78.966,38.08804069521036,0.5998171542553191,2505,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t4_s43/20260507_090513/analysis/policy_timeline.png']",0.9,4.0,43,discrete_sweep_a0.9_t4_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s42/20260507_090513,1000,79.847,35.75362346672013,0.6041563172710713,1833,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s42/20260507_090513/analysis/policy_timeline.png']",0.9,6.0,42,discrete_sweep_a0.9_t6_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s43/20260507_090513,1000,78.858,38.155128567467834,0.5972072146953703,1845,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t6_s43/20260507_090513/analysis/policy_timeline.png']",0.9,6.0,43,discrete_sweep_a0.9_t6_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s42/20260507_090513,1000,79.191,37.73068405157797,0.6051974012993503,1405,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s42/20260507_090513/analysis/policy_timeline.png']",0.9,8.0,42,discrete_sweep_a0.9_t8_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s43/20260507_090513,1000,81.246,33.70640123181352,0.6125042647560559,1384,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.9_t8_s43/20260507_090513/analysis/policy_timeline.png']",0.9,8.0,43,discrete_sweep_a0.9_t8_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s42/20260507_090513,1000,79.435,37.33933281407154,0.6005080440304826,2473,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s42/20260507_090513/analysis/policy_timeline.png']",0.95,4.0,42,discrete_sweep_a0.95_t4_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s43/20260507_090513,1000,79.977,36.66443059696959,0.6076559139784946,2432,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t4_s43/20260507_090513/analysis/policy_timeline.png']",0.95,4.0,43,discrete_sweep_a0.95_t4_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s42/20260507_090513,1000,78.817,38.622525953127415,0.5920953889769032,1882,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s42/20260507_090513/analysis/policy_timeline.png']",0.95,6.0,42,discrete_sweep_a0.95_t6_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s43/20260507_090513,1000,78.637,39.40471077168312,0.5896095133676309,1890,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t6_s43/20260507_090513/analysis/policy_timeline.png']",0.95,6.0,43,discrete_sweep_a0.95_t6_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s42/20260507_090513,1000,79.94,36.38489246926532,0.5939588797698621,1464,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s42/20260507_090513/analysis/policy_timeline.png']",0.95,8.0,42,discrete_sweep_a0.95_t8_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s43/20260507_090513,1000,80.898,35.0161333673494,0.6050412938747419,1435,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.95_t8_s43/20260507_090513/analysis/policy_timeline.png']",0.95,8.0,43,discrete_sweep_a0.95_t8_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s42/20260507_090513,1000,80.215,35.50693981463342,0.6080283353010626,2514,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s42/20260507_090513/analysis/policy_timeline.png']",0.99,4.0,42,discrete_sweep_a0.99_t4_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s43/20260507_090513,1000,78.338,39.19303198273897,0.5894997933030178,2620,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t4_s43/20260507_090513/analysis/policy_timeline.png']",0.99,4.0,43,discrete_sweep_a0.99_t4_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s42/20260507_090513,1000,80.424,35.741407694717346,0.6057069846678024,1874,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s42/20260507_090513/analysis/policy_timeline.png']",0.99,6.0,42,discrete_sweep_a0.99_t6_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s43/20260507_090513,1000,78.148,39.23740684601876,0.5874744167007777,1987,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s43/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s43/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s43/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t6_s43/20260507_090513/analysis/policy_timeline.png']",0.99,6.0,43,discrete_sweep_a0.99_t6_s43
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s42/20260507_090513,1000,81.577,32.437109473564384,0.6021285653469561,1474,91.115,4.0548458663677955,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s42/20260507_090513/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s42/20260507_090513/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s42/20260507_090513/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s42/20260507_090513/analysis/policy_timeline.png']",0.99,8.0,42,discrete_sweep_a0.99_t8_s42
/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s43/20260507_090523,1000,79.75,36.75333318217546,0.5869196882412742,1521,90.854,4.08566812161732,"['/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s43/20260507_090523/analysis/running_errors.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s43/20260507_090523/analysis/aop_accuracy.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s43/20260507_090523/analysis/reward_comparison.png', '/net/8k3/e0fs01/users/xj62kv/reinforcement-learning-strategy/runs/discrete_sweep_a0.99_t8_s43/20260507_090523/analysis/policy_timeline.png']",0.99,8.0,43,discrete_sweep_a0.99_t8_s43
